"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.pole-emploi.fr/185.215.64.1","443","INFO","HTTP","",""
"pre_128cipher","www.pole-emploi.fr/185.215.64.1","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.pole-emploi.fr/185.215.64.1","443","OK","not offered","",""
"SSLv3","www.pole-emploi.fr/185.215.64.1","443","OK","not offered","",""
"TLS1","www.pole-emploi.fr/185.215.64.1","443","LOW","offered (deprecated)","",""
"TLS1_1","www.pole-emploi.fr/185.215.64.1","443","LOW","offered (deprecated)","",""
"TLS1_2","www.pole-emploi.fr/185.215.64.1","443","OK","offered","",""
"TLS1_3","www.pole-emploi.fr/185.215.64.1","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.pole-emploi.fr/185.215.64.1","443","INFO","not offered","",""
"cipherlist_NULL","www.pole-emploi.fr/185.215.64.1","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.pole-emploi.fr/185.215.64.1","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.pole-emploi.fr/185.215.64.1","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.pole-emploi.fr/185.215.64.1","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.pole-emploi.fr/185.215.64.1","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.pole-emploi.fr/185.215.64.1","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.pole-emploi.fr/185.215.64.1","443","INFO","not offered","",""
"cipherlist_STRONG","www.pole-emploi.fr/185.215.64.1","443","MEDIUM","not offered","",""
"cipherorder_TLSv1","www.pole-emploi.fr/185.215.64.1","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","www.pole-emploi.fr/185.215.64.1","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","www.pole-emploi.fr/185.215.64.1","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order","www.pole-emploi.fr/185.215.64.1","443","OK","server","",""
"protocol_negotiated","www.pole-emploi.fr/185.215.64.1","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.pole-emploi.fr/185.215.64.1","443","LOW","ECDHE-RSA-AES128-SHA, 256 bit ECDH (P-256) (cbc)","",""
"FS","www.pole-emploi.fr/185.215.64.1","443","OK","offered","",""
"FS_ciphers","www.pole-emploi.fr/185.215.64.1","443","INFO","ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.pole-emploi.fr/185.215.64.1","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.pole-emploi.fr/185.215.64.1","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","www.pole-emploi.fr/185.215.64.1","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.pole-emploi.fr/185.215.64.1","443","INFO","yes","",""
"sessionresumption_ticket","www.pole-emploi.fr/185.215.64.1","443","INFO","not supported","",""
"sessionresumption_ID","www.pole-emploi.fr/185.215.64.1","443","INFO","supported","",""
"TLS_timestamp","www.pole-emploi.fr/185.215.64.1","443","INFO","random","",""
"cert_compression","www.pole-emploi.fr/185.215.64.1","443","INFO","N/A","",""
"clientAuth","www.pole-emploi.fr/185.215.64.1","443","INFO","none","",""
"cert_numbers","www.pole-emploi.fr/185.215.64.1","443","INFO","1","",""
"cert_signatureAlgorithm","www.pole-emploi.fr/185.215.64.1","443","OK","SHA256 with RSA","",""
"cert_keySize","www.pole-emploi.fr/185.215.64.1","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.pole-emploi.fr/185.215.64.1","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.pole-emploi.fr/185.215.64.1","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.pole-emploi.fr/185.215.64.1","443","INFO","1D1F42491F156F8224E701AE81707B58","",""
"cert_serialNumberLen","www.pole-emploi.fr/185.215.64.1","443","INFO","16","",""
"cert_fingerprintSHA1","www.pole-emploi.fr/185.215.64.1","443","INFO","3740A5DB5A0E6753133B3535D5CEC4A598BA18C9","",""
"cert_fingerprintSHA256","www.pole-emploi.fr/185.215.64.1","443","INFO","8271F36203EFB98202A73B2D799D57588FEB6845423CD8F2C3E76E71AD19C552","",""
"cert","www.pole-emploi.fr/185.215.64.1","443","INFO","-----BEGIN CERTIFICATE----- MIIHETCCBfmgAwIBAgIQHR9CSR8Vb4Ik5wGugXB7WDANBgkqhkiG9w0BAQsFADCB ujELMAkGA1UEBhMCVVMxFjAUBgNVBAoTDUVudHJ1c3QsIEluYy4xKDAmBgNVBAsT H1NlZSB3d3cuZW50cnVzdC5uZXQvbGVnYWwtdGVybXMxOTA3BgNVBAsTMChjKSAy MDE0IEVudHJ1c3QsIEluYy4gLSBmb3IgYXV0aG9yaXplZCB1c2Ugb25seTEuMCwG A1UEAxMlRW50cnVzdCBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eSAtIEwxTTAeFw0y MTA2MTYwNzQ0MjRaFw0yMjA3MTQwNzQ0MjNaMIGrMQswCQYDVQQGEwJGUjEOMAwG A1UEBxMFUGFyaXMxEzARBgsrBgEEAYI3PAIBAxMCRlIxFDASBgNVBAoTC1BvbGUg RW1wbG9pMRowGAYDVQQPExFHb3Zlcm5tZW50IEVudGl0eTEMMAoGA1UECxMDU09E MRowGAYDVQQFExExMzAgMDA1IDQ4MSAwMDAxMDEbMBkGA1UEAxMSd3d3LnBvbGUt ZW1wbG9pLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvgpvct7a 01USqs7YkJF/VMrxYSTxcr9LXG5srfQ2tFaT4GC/pmAy6WnF/czmxXQ8KpoQmnYQ eyUDfJedFLicWSz2UyuXI1gu6BZCac+hiS8OOdtiZwzDBRY3fIuWSsK+f//Js0DT IxpX4bEIr4fC8liBsRi/E/pwnZV49lvdlnwMgA9ou55Rak1gGAItWy8TzgQtcMF1 eHD21RZiXMsaezIc9/p8ZClBUNygWwb16y0nbyJWtoc4An4XVXB4aMY0VP7XQ6ax aZIpJSx+PAGVOWijsJdWPlzayBF45m9yeDyiPide4CJxfm6AqiKoqeImgTU3e1se 28cVi9e/dP2nwQIDAQABo4IDHjCCAxowDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU o319EN9FA3WvqtsD0Li/5qQUUCEwHwYDVR0jBBgwFoAUw/fQtSowra8NkSFwOVTd vIlwxzowaAYIKwYBBQUHAQEEXDBaMCMGCCsGAQUFBzABhhdodHRwOi8vb2NzcC5l bnRydXN0Lm5ldDAzBggrBgEFBQcwAoYnaHR0cDovL2FpYS5lbnRydXN0Lm5ldC9s MW0tY2hhaW4yNTYuY2VyMDMGA1UdHwQsMCowKKAmoCSGImh0dHA6Ly9jcmwuZW50 cnVzdC5uZXQvbGV2ZWwxbS5jcmwwLQYDVR0RBCYwJIISd3d3LnBvbGUtZW1wbG9p LmZygg5wb2xlLWVtcGxvaS5mcjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYI KwYBBQUHAwEGCCsGAQUFBwMCMEsGA1UdIAREMEIwNwYKYIZIAYb6bAoBAjApMCcG CCsGAQUFBwIBFhtodHRwczovL3d3dy5lbnRydXN0Lm5ldC9ycGEwBwYFZ4EMAQEw ggF+BgorBgEEAdZ5AgQCBIIBbgSCAWoBaAB2AFWB1MIWkDYBSuoLm1c8U/DA5Dh4 cCUIFy+jqh0HE9MMAAABehPHSYkAAAQDAEcwRQIgcLb7TLUW9eUFJprheRvGT+yV G4wj+xtBu/aXixxyHXICIQC+mxjcv6cTMHVRKYAMkoRbgJup5ErYa3qa4PIKOeLb 9QB2AFGjsPX9AXmcVm24N3iPDKR6zBsny/eeiEKaDf7UiwXlAAABehPHSZYAAAQD AEcwRQIgHcHdOVzMl9tKZkItAaBMnoRXflWjXKw2ZpfMgRowmNgCIQDKcZlTM5sp ATzdi2cyx85npfg4RY2lVM73rfPjms35eQB2AEalVet1+pEgMLWiiWn0830RLEF0 vv1JuIWr8vxw/m1HAAABehPHSusAAAQDAEcwRQIhAJmuRAPhMHF5jlq6WreQz58a rePq1qiE/XjPoWBMzo2fAiB2QP0VHLjb1qJmr1A+O+WvwqXfeicTsbtrTQqyFkFk QDANBgkqhkiG9w0BAQsFAAOCAQEATodNwXx5BLLsLWpfqr+ejrtZ0UuUXcx9QIAU IalaHGB1utRrp7TFuSqSOCCsW2sG4MlFmqMQm7JbuDY1T12LkBs/UiUfTf369Uo4 mrXJY/3WhZnUBnItRF1ClDm5CV6yghW/qF105hf0spmMVq9t7tDTypqTk4ALsDNk DWMTSjgwwYJPN5rp6o3Jj28Q8/OIJKxSXnmumA5js+tfaXVzzVu25AIxGKmrQ1IE DXP5cy/MaYQIGQfVNBRv7P3qzR02WQyJ/NxNHOxM4EORC0yKvSoLfNiejSHNHEuG AaVaKH6TTaJwN1kMQ0HnRXla3dfQwBOHnOBlK+vpNY3tVqW4wQ== -----END CERTIFICATE-----","",""
"cert_commonName","www.pole-emploi.fr/185.215.64.1","443","OK","www.pole-emploi.fr","",""
"cert_commonName_wo_SNI","www.pole-emploi.fr/185.215.64.1","443","INFO","www.pole-emploi.fr","",""
"cert_subjectAltName","www.pole-emploi.fr/185.215.64.1","443","INFO","www.pole-emploi.fr pole-emploi.fr","",""
"cert_trust","www.pole-emploi.fr/185.215.64.1","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","www.pole-emploi.fr/185.215.64.1","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.pole-emploi.fr/185.215.64.1","443","OK","yes","",""
"cert_expirationStatus","www.pole-emploi.fr/185.215.64.1","443","OK","95 >= 60 days","",""
"cert_notBefore","www.pole-emploi.fr/185.215.64.1","443","INFO","2021-06-16 07:44","",""
"cert_notAfter","www.pole-emploi.fr/185.215.64.1","443","OK","2022-07-14 07:44","",""
"cert_extlifeSpan","www.pole-emploi.fr/185.215.64.1","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.pole-emploi.fr/185.215.64.1","443","INFO","not present","",""
"cert_crlDistributionPoints","www.pole-emploi.fr/185.215.64.1","443","INFO","http://crl.entrust.net/level1m.crl","",""
"cert_ocspURL","www.pole-emploi.fr/185.215.64.1","443","INFO","http://ocsp.entrust.net","",""
"OCSP_stapling","www.pole-emploi.fr/185.215.64.1","443","LOW","not offered","",""
"cert_mustStapleExtension","www.pole-emploi.fr/185.215.64.1","443","INFO","--","",""
"DNS_CAArecord","www.pole-emploi.fr/185.215.64.1","443","LOW","--","",""
"certificate_transparency","www.pole-emploi.fr/185.215.64.1","443","OK","yes (certificate extension)","",""
"certs_countServer","www.pole-emploi.fr/185.215.64.1","443","INFO","2","",""
"certs_list_ordering_problem","www.pole-emploi.fr/185.215.64.1","443","INFO","no","",""
"cert_caIssuers","www.pole-emploi.fr/185.215.64.1","443","INFO","Entrust Certification Authority - L1M (Entrust, Inc. from US)","",""
"intermediate_cert <#1>","www.pole-emploi.fr/185.215.64.1","443","INFO","-----BEGIN CERTIFICATE----- MIIFLTCCBBWgAwIBAgIMYaHn0gAAAABR02amMA0GCSqGSIb3DQEBCwUAMIG+MQsw CQYDVQQGEwJVUzEWMBQGA1UEChMNRW50cnVzdCwgSW5jLjEoMCYGA1UECxMfU2Vl IHd3dy5lbnRydXN0Lm5ldC9sZWdhbC10ZXJtczE5MDcGA1UECxMwKGMpIDIwMDkg RW50cnVzdCwgSW5jLiAtIGZvciBhdXRob3JpemVkIHVzZSBvbmx5MTIwMAYDVQQD EylFbnRydXN0IFJvb3QgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkgLSBHMjAeFw0x NDEyMTUxNTI1MDNaFw0zMDEwMTUxNTU1MDNaMIG6MQswCQYDVQQGEwJVUzEWMBQG A1UEChMNRW50cnVzdCwgSW5jLjEoMCYGA1UECxMfU2VlIHd3dy5lbnRydXN0Lm5l dC9sZWdhbC10ZXJtczE5MDcGA1UECxMwKGMpIDIwMTQgRW50cnVzdCwgSW5jLiAt IGZvciBhdXRob3JpemVkIHVzZSBvbmx5MS4wLAYDVQQDEyVFbnRydXN0IENlcnRp ZmljYXRpb24gQXV0aG9yaXR5IC0gTDFNMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8A MIIBCgKCAQEA0IHBOSPCsdHs91fdVSQ2kSAiSPf8ylIKsKs/M7WwhAf23056sPuY Ij0BrFb7cW2y7rmgD1J3q5iTvjOK64dex6qwymmPQwhqPyK/MzlG1ZTy4kwFItln gJHxBEoOm3yiydJs/TwJhL39axSagR3nioPvYRZ1R5gTOw2QFpi/iuInMlOZmcP7 lhw192LtjL1JcdJDQ6Gh4yEqI3CodT2ybEYGYW8YZ+QpfrI8wcVfCR5uRE7sIZlY FUj0VUgqtzS0BeN8SYwAWN46lsw53GEzVc4qLj/RmWLoquY0djGqr3kplnjLgRSv adr7BLlZg0SqCU+01CwBnZuUMWstoc/B5QIDAQABo4IBKzCCAScwDgYDVR0PAQH/ BAQDAgEGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8E CDAGAQH/AgEAMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAYYXaHR0cDovL29j c3AuZW50cnVzdC5uZXQwMAYDVR0fBCkwJzAloCOgIYYfaHR0cDovL2NybC5lbnRy dXN0Lm5ldC9nMmNhLmNybDA7BgNVHSAENDAyMDAGBFUdIAAwKDAmBggrBgEFBQcC ARYaaHR0cDovL3d3dy5lbnRydXN0Lm5ldC9ycGEwHQYDVR0OBBYEFMP30LUqMK2v DZEhcDlU3byJcMc6MB8GA1UdIwQYMBaAFGpyJnrQHu995ztpUdRsjZ+QEmarMA0G CSqGSIb3DQEBCwUAA4IBAQC0h8eEIhopwKR47PVPG7SEl2937tTPWa+oQ5YvHVje pvMVWy7ZQ5xMQrkXFxGttLFBx2YMIoYFp7Qi+8VoaIqIMthx1hGOjlJ+Qgld2dnA DizvRGsf2yS89byxqsGK5Wbb0CTz34mmi/5e0FC6m3UAyQhKS3Q/WFOv9rihbISY Jnz8/DVRZZgeO2x28JkPxLkJ1YXYJKd/KsLak0tkuHB8VCnTglTVz6WUwzOeTTRn 4Dh2ZgCN0C/GqwmqcvrOLzWJ/MDtBgO334wlV/H77yiI2YIowAQPlIFpI+CRKMVe 1QzX1CA778n4wI+nQc1XRG5sZ2L+hN/nYNjvv9QiHg3n -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.pole-emploi.fr/185.215.64.1","443","INFO","75C5B3F01FD1F51A2C447AB7C785D72E69FA9C472C08571E7EADF3B8EABAE70C","",""
"intermediate_cert_notBefore <#1>","www.pole-emploi.fr/185.215.64.1","443","INFO","2014-12-15 15:25","",""
"intermediate_cert_notAfter <#1>","www.pole-emploi.fr/185.215.64.1","443","OK","2030-10-15 15:55","",""
"intermediate_cert_expiration <#1>","www.pole-emploi.fr/185.215.64.1","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.pole-emploi.fr/185.215.64.1","443","INFO","Entrust Certification Authority - L1M <-- Entrust Root Certification Authority - G2","",""
"intermediate_cert_badOCSP","www.pole-emploi.fr/185.215.64.1","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.pole-emploi.fr/185.215.64.1","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","www.pole-emploi.fr/185.215.64.1","443","INFO","Got no HTTP time, maybe try different URL?","",""
"HSTS","www.pole-emploi.fr/185.215.64.1","443","LOW","not offered","",""
"HPKP","www.pole-emploi.fr/185.215.64.1","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.pole-emploi.fr/185.215.64.1","443","INFO","BigIP","",""
"banner_application","www.pole-emploi.fr/185.215.64.1","443","INFO","No application banner found","",""
"cookie_count","www.pole-emploi.fr/185.215.64.1","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","www.pole-emploi.fr/185.215.64.1","443","MEDIUM","--","",""
"banner_reverseproxy","www.pole-emploi.fr/185.215.64.1","443","INFO","--","","CWE-200"
"heartbleed","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.pole-emploi.fr/185.215.64.1","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.pole-emploi.fr/185.215.64.1","443","OK","supported","","CWE-310"
"secure_client_renego","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable, mitigated","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.pole-emploi.fr/185.215.64.1","443","OK","Probably oK","",""
"fallback_SCSV","www.pole-emploi.fr/185.215.64.1","443","MEDIUM","received non-RFC-compliant 'handshake failure' instead of 'inappropriate fallback'","",""
"SWEET32","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.pole-emploi.fr/185.215.64.1","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.pole-emploi.fr/185.215.64.1","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=8271F36203EFB98202A73B2D799D57588FEB6845423CD8F2C3E76E71AD19C552","CVE-2016-0800 CVE-2016-0703","CWE-310"
